name,format,version_current,python_min,outdated_python_min,optimize_count,optimize_codes,validate_passed,validate_errors,validate_warnings,version_latest,is_outdated,cve_count,cve_ids,error
datatable,v0,1.1.0,,,0,,,,,,,,,
datatables,v0,0.4.9,,,0,,,,,,,,,
db-build,v0,0.1,,,0,,,,,,,,,
db-to-sqlite,v0,1.5,,,0,,,,,,,,,
dbt,v0,1.8.9,,,0,,,,,,,,,
dbt-adapters,both,1.16.0,,,0,,,,,,,,,
dbt-bigquery,v0,1.8.0,,,0,,,,,,,,,
dbt-common,v0,1.13.0,,,0,,,,,,,,,
dbt-core,v0,1.8.9,,,0,,,,,,,,,
dbt-dremio,v0,1.7.0,,,0,,,,,,,,,
dbt-duckdb,v0,1.9.0,,,0,,,,,,,,,
dbt-duckdb-kedro-datasets,v0,0.1.2,,,0,,,,,,,,,
dbt-ibis,v0,0.9.0,,,0,,,,,,,,,
dbt-postgres,v0,1.8.0,,,0,,,,,,,,,
dbt-protos,v1,1.0.317,3.9,True,0,,,,,,,,,
dbt-redshift,v0,1.10.1,3.10,,0,,,,,,,,,
dbt-semantic-interfaces,v0,0.8.1,,,0,,,,,,,,,
dbt-spark,v0,1.8.0,,,0,,,,,,,,,
dbt-teradata,v0,1.3.3.0,,,0,,,,,,,,,
dbus-python,v0,1.4.0,,,0,,,,,,,,,
ddgs,v1,9.0.0,,,0,,,,,,,,,
deck.gl,v0,9.0.35,,,0,,,,,,,,,
deepmerge,v0,1.1.0,,,0,,,,,,,,,
deepsearcher,v0,0.0.2,3.10,,0,,,,,,,,,
defusedxml,v0,0.7.1,,,0,,,,,,,,,
deltalake,v0,0.10.0,,,0,,,,,,,,,
detect-test-pollution,v0,1.1.1,,,0,,,,,,,,,
dg-sqlmesh,v1,1.10.1,3.11,,0,,,,,,,,,
diazo,v0,2.0.0,,,0,,,,,,,,,
dice-ml,both,0.12,3.9,True,0,,,,,,,,,
django,v0,4.2.15,,,0,,,,,,,,,
django-admin-interface,v0,0.28.1,,,0,,,,,,,,,
django-admin-rangefilter,v0,0.13.2,,,0,,,,,,,,,
django-ai-assistant,v1,0.4.0,3.10,,0,,,,,,,,,
django-ai-boost,v1,0.8.0,3.12,,0,,,,,,,,,
django-ai-core,v1,0.1.4,3.11,,0,,,,,,,,,
django-allauth,v0,65.1.0,,,0,,,,,,,,,
django-anymail,v0,12.0,,,0,,,,,,,,,
django-api-generator,v0,1.0.17,,,0,,,,,,,,,
django-appconf,v0,1.0.6,,,0,,,,,,,,,
django-approval,v0,0.11.4,,,0,,,,,,,,,
django-atlassian,v0,0.1.4,,,0,,,,,,,,,
django-auditlog,v0,2.3.0,,,0,,,,,,,,,
django-autocomplete-light,v0,3.9.7,,,0,,,,,,,,,
django-auxiliaries,v0,4.1.0,,,0,,,,,,,,,
django-avatar,v0,8.0.0,,,0,,,,,,,,,
django-background-tasks,v0,1.2.5,,,0,,,,,,,,,
django-bakery,v0,0.13.4,,,0,,,,,,,,,
django-bolt,v1,0.2.4,3.10,,0,,,,,,,,,
django-bootstrap-form,v0,3.4,,,0,,,,,,,,,
django-bootstrap5,both,25.2,3.10,,0,,,,,,,,,
